context_section,anchor_text,destination_url,link_type,rel_attributes,notes
Next Step CTA,Cycling Coach,/cycling-coach/,internal,,Source: gear/index.html L304-L307
Heaters — 5–10 Gallons,"Hitop 50W Adjustable Aquarium Heater, Submersible Glass Water Heater for 5–15 Gallon Fish Tank",https://amzn.to/3KFMlOx,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L2
Heaters — 5–10 Gallons,hygger Mini Fish Tank Submersible Heater 50W for 5–10 Gallons Small Betta Aquarium Heater with Digital Display Controller Adjustable Temperature,https://amzn.to/479AuRA,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L3
Heaters — 5–10 Gallons,"hygger Aquarium Heater, Upgraded Ceramic 50W Small Fish Tank Heater with Digital LED Controller, Fast Heating, Precise Temperature Control, Turtle Tank Heater for Freshwater/Saltwater",https://amzn.to/3KBKiLp,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L4
Heaters — 10–20 Gallons,"Hitop 100w Adjustable Aquarium Heater, Submersible Glass Water Heater for 10 – 30 Gallon Fish Tank",https://amzn.to/4nXCmT2,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L5
Heaters — 10–20 Gallons,"Fluval M 50-Watt Submersible Aquarium Heater – Compact, Reliable Heating with Mirror Technology for Fresh & Saltwater Tanks Up to 15 Gallons",https://amzn.to/4pTvtnA,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L6
Heaters — 10–20 Gallons,"hygger Aquarium Heater, Submersible Fish Tank Heater 100W with Digital LED Controller, Memory Function, Auto Shut Off Protection, Heater for Saltwater Freshwater Fish Tank",https://amzn.to/46DNSxo,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L7
Heaters — 20–40 Gallons,"Hitop 300W Aquarium Heater, Submersible Glass Water Heater 35–70 Gallon Fish Tank",https://amzn.to/4n9U4lP,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L8
Heaters — 20–40 Gallons,hygger 802 Aquarium Titanium Heater Tube Heating Element Replacement Heater Rod (Controller Excluded) (200W),https://amzn.to/42Zj6wn,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L9
Heaters — 20–40 Gallons,"hygger Aquarium Heater 200W, Submersible Fish Tank Heater with Digital LED Controller, Overheating & Auto Shut Off Protection, Betta Turtle Tank Heater, for Saltwater & Freshwater Fish Tank 20–55 Gallon",https://amzn.to/4mORQry,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L10
Heaters — 40–55 Gallons,"Hitop 300W Aquarium Heater, Submersible Glass Water Heater (35–70 Gallon Fish Tank)",https://amzn.to/46Qv3ps,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L11
Heaters — 40–55 Gallons,"hygger Aquarium Heater 300W, Fish Tank Heater with Digital LED Controller, Overheating & Auto Shut Off Protection, Memory Function, Submersible Fish Heater for Saltwater & Freshwater Fish Tank 25–80 Gallon",https://amzn.to/4nF3vuv,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L12
Heaters — 40–55 Gallons,AQQA Aquarium Heater 500W for 55–130 Gallon Fish Tank Heater Quartz Glass Submersible Betta Fish Heater for Aquarium Thermostat Heater with External Digital Controller (AQ136-500W for 55–130Gal),https://amzn.to/3WsfsHG,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L13
Heaters — 55–75 Gallons,AQQA Aquarium Heater 500W for 55–130 Gallon Fish Tank Heater Quartz Glass Submersible Betta Fish Heater for Aquarium Thermostat Heater with External Digital Controller (AQ136-500W for 55–130Gal),https://amzn.to/42q5t9x,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L14
Heaters — 55–75 Gallons,"hygger Aquarium Heater with Intelligent Temperature Controller, 500W for 66–135 Gallon Submersible Fish Tank Heater with Leaving Water Automatically Stop Heating System, for Freshwater Saltwater",https://amzn.to/479hliF,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L15
Heaters — 55–75 Gallons,"Fluval M 200-Watt Submersible Aquarium Heater – High-Performance, Compact Heating with Mirror Technology for Fresh & Saltwater Tanks",https://amzn.to/4o4Z6Az,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L16
Heaters — 75–125 Gallons,"hygger 500W Aquarium Heater with Controller, Adjustable & Submersible Fish Tank Heater with Digital Display Safety Triple Protection Beeping Alarm for Saltwater and Freshwater 65–135 Gallon",https://amzn.to/46ROYo5,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L17
Heaters — 75–125 Gallons,"hygger Aquarium Heater with Intelligent Temperature Controller, 500W for 66–135 Gallon Submersible Fish Tank Heater with Leaving Water Automatically Stop Heating System, for Freshwater Saltwater",https://amzn.to/3KWN91y,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L18
Heaters — 75–125 Gallons,AQQA Aquarium Heater 500W for 55–130 Gallon Fish Tank Heater Quartz Glass Submersible Betta Fish Heater for Aquarium Thermostat Heater with External Digital Controller (AQ136-500W for 55–130Gal),https://amzn.to/3WocVON,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L19
Filters — Filter Media,Seachem Purigen Organic Filtration Resin - Fresh and Saltwater 500 ml (116016308),https://amzn.to/4o7x07V,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L2
Filters — Filter Media,Seachem Matrix Bio Media 1 Liter,https://amzn.to/435usiz,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L3
