# Summary: total_files_copied=27
# 2025-11-01: Prototype Gear metadata/content refreshed with Gemini quick answers, FAQ JSON-LD relocation, extras education copy, and prototype ad-slot placeholders.
# Total_shared_references=9
# Path_rewrites=Converted gear-specific assets to prototype-relative ./paths; nav/footer loaders now reference ./includes/
original_path,prototype_path,file_type,notes
/gear/index.html,/prototype/gear/index.html,html,Primary Gear page cloned with prototype banner and local asset references
/includes/ga4.html,/prototype/gear/includes/ga4.html,include,GA4 include isolated for sandbox edits
/nav.html,/prototype/gear/includes/nav.html,include,Navigation markup copy used by prototype nav loader
/footer.html,/prototype/gear/includes/gear-footer.html,include,Footer markup copy fetched locally within prototype (converted from proto-footer tag at runtime)
/assets/css/gear.v2.css,/prototype/gear/css/gear.v2.css,css,Gear-specific styling copied for isolated iteration
/assets/js/gear.v2.js,/prototype/gear/js/gear.v2.js,js,Gear interaction script updated to load local data module
/assets/js/gear.v2.data.js,/prototype/gear/js/gear.v2.data.js,js,Data bootstrap script rewritten to use prototype data paths
/assets/js/consent-mode.js,/prototype/gear/js/consent-mode.js,js,Consent defaults copied to avoid mutating live asset
/js/nav.js,/prototype/gear/js/nav.js,js,Nav loader copy fetching prototype nav include
/js/footer-loader.js,/prototype/gear/js/footer-loader.js,js,Footer loader copy pointing to prototype footer include
/js/gear-data.js,/prototype/gear/js/gear-data.js,js,Module now referencing prototype gear catalog data
/js/ui/tooltip.js,/prototype/gear/js/ui/tooltip.js,js,Tooltip module duplicated for isolated behavior
/js/ui/tooltip-content.js,/prototype/gear/js/ui/tooltip-content.js,js,Tooltip content registry copied for sandbox use
/assets/data/gearCatalog.json,/prototype/gear/data/gearCatalog.json,json,Gear catalog dataset stored locally for prototype fetches
/assets/js/generated/gear-stands.json,/prototype/gear/data/gear-stands.json,json,Stand recommendations JSON mirrored for sandbox
/assets/sprite.socials.svg,/prototype/gear/assets/sprite.socials.svg,svg,Social icon sprite copied for isolated footer use
/data/gear_heaters.csv,/prototype/gear/data/gear_heaters.csv,csv,Heater dataset for dynamic rendering
/data/gear_filters_ranges.csv,/prototype/gear/data/gear_filters_ranges.csv,csv,Filter range buckets dataset
/data/gear_filters.csv,/prototype/gear/data/gear_filters.csv,csv,Filter catalog dataset
/data/gear_lighting.csv,/prototype/gear/data/gear_lighting.csv,csv,Lighting dataset for gear sections
/data/gear_aeration.csv,/prototype/gear/data/gear_aeration.csv,csv,Air and aeration dataset
/data/gear_substrate.csv,/prototype/gear/data/gear_substrate.csv,csv,Substrate dataset
/data/gear_treatments.csv,/prototype/gear/data/gear_treatments.csv,csv,Fertilizer and treatments dataset
/data/gear_food.csv,/prototype/gear/data/gear_food.csv,csv,Food dataset
/data/gear_water_food_tools.csv,/prototype/gear/data/gear_water_food_tools.csv,csv,Water treatment and tools dataset
/data/gear_maintenance.csv,/prototype/gear/data/gear_maintenance.csv,csv,Maintenance tools dataset
/data/gear_extras.csv,/prototype/gear/data/gear_extras.csv,csv,Extras dataset for dynamic sections
/css/style.css?v=2024-06-05a,shared ref,css,Global stylesheet reused without duplication
/css/site.css?v=1.4.9,shared ref,css,Global layout stylesheet reused without duplication
https://thetankguide.com/assets/logo.png,shared ref,img,Existing logo reference retained in JSON-LD
https://thetankguide.com/assets/og/gear-guide.png,shared ref,img,OG/Twitter preview image hosted externally
https://fonts.gstatic.com,shared ref,external,Font preconnect remains shared
https://www.googletagmanager.com/gtag/js?id=G-JLDG95NKGB,shared ref,external,GA4 loader remains shared
https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9905718149811880,shared ref,external,AdSense loader kept shared
https://static.cloudflareinsights.com/beacon.min.js,shared ref,external,Cloudflare analytics script shared
https://fundingchoicesmessages.google.com/i/pub-9905718149811880?ers=1,shared ref,external,Funding Choices CMP script shared
