Category,Item_Name,Tank_Size_Range,Price_Range,Notes,Amazon_Link,Chewy_Link,Status
Filtration,Fluval 107 Performance Canister Filter,,Mid,Great for 30-gallon setups,https://www.amazon.com/dp/B07KXJGDLT/?tag=fishkeepinglife-20,,Active
Filtration,AquaClear 50 Power Filter,,Budget,,https://www.amazon.com/dp/B0002566WY/?tag=fishkeepinglife-20,,Active
Filtration,Seachem Tidal 55 Hang On Back Filter,,Mid,Quiet motor,https://www.amazon.com/dp/B01M0N8FPT/?tag=fishkeepinglife-20,,Active
Filtration,Tetra Whisper IQ Power Filter 45,,Budget,Budget-friendly option,https://www.amazon.com/dp/B0B3QFMG6M/?tag=fishkeepinglife-20,,Active
Filtration,Hygger Quiet Aquarium Power Filter,,Budget,,https://www.amazon.com/dp/B08F2Z4M6W/?tag=fishkeepinglife-20,,Active
Filtration,MarineLand Penguin 350 BIO-Wheel Filter,,Budget,,https://www.amazon.com/dp/B07PHLZYRZ/?tag=fishkeepinglife-20,,Active
Filtration,Aqueon QuietFlow Canister Filter 200,,Premium,Includes media baskets,https://www.amazon.com/dp/B08N4G6GRH/?tag=fishkeepinglife-20,,Active
Filtration,Fluval FX4 High Performance Canister Filter,,Premium,For large tanks,https://www.amazon.com/dp/B09R7MDG8M/?tag=fishkeepinglife-20,,Active
Filtration,SunSun HW-3000 Canister Filter,,Premium,,https://www.amazon.com/dp/B081V6B7LN/?tag=fishkeepinglife-20,,Active
Filtration,Polar Aurora External Canister Filter,,Mid,,https://www.amazon.com/dp/B0834K1LXB/?tag=fishkeepinglife-20,,Active
Filtration,Cascade 1500 Canister Filter,,Premium,Easy priming,https://www.amazon.com/dp/B0BR8HH7ND/?tag=fishkeepinglife-20,,Active
Filtration,Eheim Classic External Canister Filter 2213,,Mid,,https://www.amazon.com/dp/B005QRDCP2/?tag=fishkeepinglife-20,,Active
